report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,off_road_description,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,first_harmful_event,second_harmful_event,fixed_oject_struck,route_type,mile_point,mile_point_direction,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,cross_street_name,municipality,surface_condition,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,related_non_motorist,non_motorist_substance_abuse,lane_type
EJ78330080,230074377,Gaithersburg Police Depar,Injury Crash,2023-12-31T12:10:00.000,No,1,2,No,Missing,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Municipality,0.49,North,North,South,0.2,MILE,LEVEL,PERRY PKWY,Unknown,STRUC OV CSX R/R,Missing,DRY,NON INTERSECTION,Missing,OTHER,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3118004C,230074374,Montgomery County Police,Property Damage Crash,2023-12-31T11:34:00.000,No,0,1,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),2.23,North,North,North,0.0,FEET,LEVEL,LAYHILL RD,County,BEL PRE RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP3375000P,230074367,Montgomery County Police,Injury Crash,2023-12-31T11:16:00.000,No,1,2,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,Missing,NONE DETECTED,FIXED OBJECT,Missing,FENCE,Maryland (State),5.507,North,South,South,0.0,FEET,HILL UPHILL,NORWOOD RD,County,EXCALIBER LA,Missing,DRY,Missing,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2228001J,230074366,Montgomery County Police,Injury Crash,2023-12-31T11:00:00.000,No,0,1,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,YIELD SIGN,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),4.18,North,South,North,0.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,Unknown,SPUR TO CHRISTOPHER AVE,Missing,DRY,INTERSECTION,FIVE-POINT OR MORE,Missing,CURVE RIGHT,NO DEFECTS,Missing,Missing,Missing,RIGHT TURN LANE
MCP209400N9,230074362,Montgomery County Police,Property Damage Crash,2023-12-31T10:31:00.000,No,1,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.68,North,North,North,2.0,FEET,LEVEL,ROCKVILLE PIKE,County,BELLEVUE DR,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3089004C,230074361,Montgomery County Police,Property Damage Crash,2023-12-31T10:12:00.000,No,0,2,No,Missing,UNKNOWN,OTHER,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),2.3,North,South,South,0.0,FEET,LEVEL,GEORGIA AVE,County,DENNIS AVE,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
DD559500FK,230074355,Rockville Police Departme,Property Damage Crash,2023-12-31T09:55:00.000,No,0,1,No,Missing,DRIVER,SINGLE VEHICLE,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,FIXED OBJECT,Missing,SIGN SUPPORT POLE,Municipality,2.07,South,South,South,0.0,FEET,GRADE DOWNHILL,TWINBROOK PKWY,Municipality,CHAPMAN AVE,ROCKVILLE,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,MEDIAN AREA
MCP2456008B,230074353,Montgomery County Police,Injury Crash,2023-12-31T09:30:00.000,No,3,3,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,UNKNOWN,FIXED OBJECT,FIXED OBJECT,CURB,US (State),3.02,North,North,North,500.0,FEET,LEVEL,COLESVILLE RD,County,LORAIN AVE,Missing,DRY,INTERSECTION RELATED,T-INTERSECTION,INTERSECTION RELATED,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP1519004N,230074349,Montgomery County Police,Property Damage Crash,2023-12-31T07:17:00.000,No,1,1,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DAWN,NO CONTROLS,NONE DETECTED,OTHER OBJECT,OTHER NON COLLISION,EMBANKMENT,Maryland (State),8.84,East,East,East,0.25,MILE,HILL UPHILL,CLOPPER RD,Other Public Roadway,ALLSPICE RD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2203007Z,230074348,Montgomery County Police,Property Damage Crash,2023-12-31T06:50:00.000,Yes,1,1,No,Missing,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DARK -- UNKNOWN LIGHTING,NO CONTROLS,UNKNOWN,PARKED VEHICLE,FIXED OBJECT,MAILBOX,County,0.53,East,West,East,0.04,MILE,GRADE DOWNHILL,HERMITAGE AVE,County,NAIRN RD,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD56720005,230074345,Rockville Police Departme,Property Damage Crash,2023-12-31T03:22:00.000,Yes,2,4,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),22.72,East,West,East,0.0,FEET,LEVEL,VEIRS MILL RD,Maryland (State),ROCKVILLE PIKE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP31050059,230074336,Montgomery County Police,Injury Crash,2023-12-31T00:19:00.000,Yes,0,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,Missing,County,1.42,South,South,South,0.0,FEET,LEVEL,FATHER HURLEY BLVD,County,WISTERIA DR,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP3017002L,230074329,Montgomery County Police,Property Damage Crash,2023-12-30T22:05:00.000,No,1,1,No,Missing,DRIVER,HEAD ON,CLEAR,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,PARKED VEHICLE,FIXED OBJECT,MAILBOX,County,0.07,South,South,South,40.0,FEET,LEVEL,SWAN STREAM DR,County,IVY OAK DR,Missing,Missing,INTERSECTION RELATED,T-INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP291400FG,230074331,Montgomery County Police,Property Damage Crash,2023-12-30T21:58:00.000,No,0,0,Yes,8404 COLESVILLE ROAD- 3RD LEVEL PARKING CIRCLE,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2756005J,230074318,Montgomery County Police,Property Damage Crash,2023-12-30T19:40:00.000,Yes,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,PARKED VEHICLE,Missing,Missing,County,0.52,North,North,South,50.0,FEET,LEVEL,BUCKNELL DR,Unknown,ROAD END,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP13100009,230074314,Montgomery County Police,Property Damage Crash,2023-12-30T19:10:00.000,No,0,0,No,Missing,DRIVER,Missing,CLEAR,DARK LIGHTS ON,Missing,NONE DETECTED,PARKED VEHICLE,Missing,OTHER,County,0.3,East,North,West,0.2,MILE,LEVEL,BETHESDA AVE,County,WOODMONT AVE,Missing,DRY,OTHER,Missing,Missing,STRAIGHT,NO DEFECTS,Missing,Missing,Missing,Missing
MCP28750084,230074312,Montgomery County Police,Property Damage Crash,2023-12-30T19:05:00.000,No,1,2,No,Missing,DRIVER,SINGLE VEHICLE,CLOUDY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,ANIMAL,FIXED OBJECT,FENCE,County,2.36,North,South,North,0.15,MILE,LEVEL,ZION RD,County,GREGG RD,Missing,DRY,Missing,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
EJ78710070,230074307,Gaithersburg Police Depar,Property Damage Crash,2023-12-30T18:21:00.000,No,2,2,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),1.59,North,East,North,0.0,FEET,LEVEL,QUINCE ORCHARD RD,Municipality,TWIN LAKES DR,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,Missing,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP32630046,230074313,Montgomery County Police,Injury Crash,2023-12-30T17:15:00.000,No,0,1,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,PEDESTRIAN,Missing,Missing,County,0.09,West,West,West,0.0,FEET,LEVEL,MOORLAND LA,County,ARLINGTON RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,Missing,"TWO-WAY, NOT DIVIDED",PEDESTRIAN,NONE DETECTED,RIGHT TURN LANE
MCP29660072,230074296,Montgomery County Police,Injury Crash,2023-12-30T16:28:00.000,No,2,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,Missing,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,0.0,North,South,North,0.0,FEET,LEVEL,GERMANTOWN RD,Maryland (State),FREDERICK RD,Missing,Missing,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP24560089,230074284,Montgomery County Police,Property Damage Crash,2023-12-30T14:45:00.000,Yes,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,Missing,Maryland (State),2.68,North,North,South,200.0,FEET,LEVEL,NEW HAMPSHIRE AVE,County,ADELPHI RD,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
DD5610008N,230074283,Rockville Police Departme,Property Damage Crash,2023-12-30T14:14:00.000,Yes,1,1,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,Missing,PARKED VEHICLE,PARKED VEHICLE,Missing,Municipality,0.8,North,North,North,200.0,MILE,LEVEL,E JEFFERSON ST,Municipality,HALPINE RD,ROCKVILLE,DRY,OTHER,OTHER,OTHER,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2592003J,230074268,Montgomery County Police,Injury Crash,2023-12-30T11:43:00.000,No,1,1,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,Missing,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Missing,0.0,Missing,North,North,0.0,FEET,LEVEL,STEWARTOWN RD,Missing,GREEN VILLAGE DR,Missing,DRY,INTERSECTION,T-INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP285900FP,230074269,Montgomery County Police,Property Damage Crash,2023-12-30T11:40:00.000,No,2,2,No,Missing,DRIVER,SINGLE VEHICLE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,FIXED OBJECT,FIXED OBJECT,TREE SHRUBBERY,County,3.23,North,South,South,20.0,FEET,LEVEL,SHADY GROVE RD,Municipality,CHOKE CHERRY RD,ROCKVILLE,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3129008C,230074266,Montgomery County Police,Property Damage Crash,2023-12-30T11:21:00.000,No,0,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,FIXED OBJECT,CURB,Maryland (State),6.75,North,South,North,0.0,FEET,HILL CREST,CONNECTICUT AVE,County,WELLER RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,CROSSOVER AREA
MCP3268003N,230074264,Montgomery County Police,Injury Crash,2023-12-30T11:19:00.000,No,1,2,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,RAILWAY CROSSING DEVICE,NONE DETECTED,PEDESTRIAN,PEDESTRIAN,OTHER,County,1.9,North,North,North,0.0,FEET,LEVEL,GREENCASTLE RD,Unknown,LANSDALE CT,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",PEDESTRIAN,NONE DETECTED,Missing
MCP2203007Y,230074254,Montgomery County Police,Injury Crash,2023-12-30T09:45:00.000,No,0,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.11,North,North,South,35.0,FEET,LEVEL,GRANDVIEW AVE,County,KENSINGTON BLVD,Missing,DRY,OTHER DRIVEWAY,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,CROSSOVER AREA
MCP2968005C,230074251,Montgomery County Police,Property Damage Crash,2023-12-30T09:21:00.000,No,0,0,Yes,PARKING LOT OF 100 EDISON PARK DR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Missing,Missing,UNKNOWN,UNKNOWN,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2592003H,230074252,Montgomery County Police,Property Damage Crash,2023-12-30T06:50:00.000,Yes,1,1,No,Missing,DRIVER,SAME DIR REAR END,UNKNOWN,DAWN,Missing,UNKNOWN,PARKED VEHICLE,UNKNOWN,Missing,County,0.89,East,East,West,500.0,FEET,LEVEL,CENTERWAY RD,County,HARKNESS LA,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2536004X,230074244,Montgomery County Police,Injury Crash,2023-12-30T04:55:00.000,No,3,3,No,Missing,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,FIXED OBJECT,PEDESTRIAN,CURB,Maryland (State),4.64,North,North,North,50.0,FEET,LEVEL,GEORGIA AVE,County,RANDOLPH RD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",OTHER,NONE DETECTED,Missing
MCP28000064,230074243,Montgomery County Police,Property Damage Crash,2023-12-30T03:47:00.000,No,1,3,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,FIXED OBJECT,FIXED OBJECT,LIGHT SUPPORT POLE,Maryland (State),3.07,North,North,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,Unknown,ENT TO NATIONAL NAVAL MEDICAL CTR,Missing,DRY,INTERSECTION,Y-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2907002X,230074240,Montgomery County Police,Property Damage Crash,2023-12-30T03:06:00.000,No,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK NO LIGHTS,NO CONTROLS,ALCOHOL CONTRIBUTED,Missing,OTHER VEHICLE,Missing,County,0.13,South,South,South,100.0,FEET,LEVEL,SUNDALE DR,County,QUINTON RD,Missing,DRY,NON INTERSECTION,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP33370026,230074234,Montgomery County Police,Property Damage Crash,2023-12-30T01:20:00.000,No,0,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,6.63,East,West,East,0.0,FEET,LEVEL,RANDOLPH RD,Maryland (State),NEW HAMPSHIRE AVE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP200800B0,230074231,Montgomery County Police,Property Damage Crash,2023-12-29T23:18:00.000,No,2,2,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,Missing,ALCOHOL CONTRIBUTED,FIXED OBJECT,Missing,CURB,Maryland (State),14.77,North,North,North,180.0,FEET,LEVEL,FREDERICK RD,Municipality,MONTGOMERY AVE,GAITHERSBURG,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP33220029,230074222,Montgomery County Police,Property Damage Crash,2023-12-29T22:03:00.000,No,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK NO LIGHTS,NO CONTROLS,ALCOHOL PRESENT,PARKED VEHICLE,Missing,Missing,County,0.21,South,South,North,200.0,FEET,LEVEL,PARKLAND DR,County,HEATHFIELD RD,Missing,DRY,Missing,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP25070024,230074218,Montgomery County Police,Injury Crash,2023-12-29T21:23:00.000,No,1,1,No,Missing,DRIVER,OTHER,Missing,DARK LIGHTS ON,Missing,Missing,OTHER VEHICLE,Missing,OTHER,County,1.97,South,West,South,0.0,FEET,LEVEL,TRAVILAH RD,County,NATIA MANOR DR,Missing,DRY,INTERSECTION RELATED,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP33220028,230074214,Montgomery County Police,Property Damage Crash,2023-12-29T20:27:00.000,Yes,1,2,No,Missing,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,DARK LIGHTS ON,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Maryland (State),4.16,East,South,West,0.0,FEET,LEVEL,VEIRS MILL RD,County,CENTERHILL ST,Missing,DRY,INTERSECTION RELATED,T-INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2898004D,230074210,Montgomery County Police,Injury Crash,2023-12-29T19:59:00.000,No,2,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,Missing,OTHER VEHICLE,Missing,Missing,Maryland (State),7.08,North,North,North,0.0,FEET,HILL UPHILL,GERMANTOWN RD,Maryland (State),FREDERICK RD,Missing,DRY,Missing,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ7876006Q,230074206,Gaithersburg Police Depar,Injury Crash,2023-12-29T19:45:00.000,No,1,1,No,Missing,DRIVER,HEAD ON,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),11.585,East,West,East,50.0,FEET,LEVEL,W DIAMOND AVE,Ramp,RAMP 6 FR MD 117 EB TO IS 270 SB,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
