report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,off_road_description,collision_type,weather,light,traffic_control,driver_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,route_type,road_name,cross_street_type,cross_street_name,municipality,surface_condition,related_non_motorist,non_motorist_substance_abuse
MCP2583003W,230074410,Montgomery County Police,Property Damage Crash,2023-12-31T16:28:00.000,,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,F2BC3DA2-8950-4DAC-8E9D-143EE341B828,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,3A4AB20E-51AE-4F2A-92A0-5C05D489F660,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,West,West,40,No,No,2015,INFINITI,Q40,N/A,Maryland (State),BUCKLODGE RD,Maryland (State),DARNESTOWN RD,N/A,DRY,,
DD5666000D,230074399,Rockville Police Departme,Injury Crash,2023-12-31T15:22:00.000,INTO STRUCTURE OF 721 MONROE ST. APARTMENT102,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,4492877E-CB8B-41C9-AF5F-C4ACDDF37821,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,3CC7F2E5-EDA1-4593-9907-8C64745F2254,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,East,15,No,No,2007,HOND,2S,NO MISUSE,,,,,,,PEDESTRIAN,NONE DETECTED
MCP27260089,240000218,Montgomery County Police,Property Damage Crash,2023-12-31T15:18:00.000,11800 BLK OF GRAND PARK AVE,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,5008E139-974A-4ED2-B2C3-7B83EE50786E,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,B04D30A7-3C42-4BF0-927B-112539918215,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,PARKING,Unknown,Unknown,25,No,No,2021,VOLK,ATLAS,NO MISUSE,,,,,,,,
MCP3254003N,240000590,Montgomery County Police,Injury Crash,2023-12-31T13:00:00.000,ON THE SIDEWALK IN FRONT OF EXXON AT 448 N FREDERICK AVENUE GAITHERSBURG MD 20877,SINGLE VEHICLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,D534563D-D46C-4510-B8F7-E44243D8DD12,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,E23F7E4A-366D-4142-8FBD-38018A9705A6,UNKNOWN,UNKNOWN,UNKNOWN,,MOVING CONSTANT SPEED,South,East,5,No,No,0,UNKNOWN,UNKNOWN,N/A,,,,,,,PEDESTRIAN,N/A
EJ78330080,230074377,Gaithersburg Police Depar,Injury Crash,2023-12-31T12:10:00.000,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,759E9E34-5A9A-4059-8C5B-F5480389A5AD,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,6684A1A9-D180-43BD-8650-E84198EAA493,FUNCTIONAL,ONE OCLOCK,TWO OCLOCK,PASSENGER CAR,UNKNOWN,West,North,30,No,No,2018,CHEV,SUBURBAN,NO MISUSE,Municipality,PERRY PKWY,Unknown,STRUC OV CSX R/R,N/A,DRY,,
EJ78330080,230074377,Gaithersburg Police Depar,Injury Crash,2023-12-31T12:10:00.000,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,ED0B519C-8231-4B9C-AFB1-AFFA21C15D7A,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,BF041679-9A24-45D1-9968-BEF42A124CBA,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,South,South,30,No,No,2017,TOYT,RAV4,NO MISUSE,Municipality,PERRY PKWY,Unknown,STRUC OV CSX R/R,N/A,DRY,,
MCP3118004C,230074374,Montgomery County Police,Property Damage Crash,2023-12-31T11:34:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,CA9B632E-1D11-4EB1-BD47-7C0B2EB3BB5C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,22819732-91A9-480A-9117-86DF77FE45A2,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,40,No,No,2015,TOYT,HB,NO MISUSE,Maryland (State),LAYHILL RD,County,BEL PRE RD,N/A,DRY,,
MCP3118004C,230074374,Montgomery County Police,Property Damage Crash,2023-12-31T11:34:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,E60B01DE-619A-4DB3-8E3F-4B4E9FCE678B,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E2EDD9A1-ABBE-46DE-B717-8B0E474D1558,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,TRANSIT BUS,SLOWING OR STOPPING,North,North,40,No,No,2019,GILG,BU,NO MISUSE,Maryland (State),LAYHILL RD,County,BEL PRE RD,N/A,DRY,,
MCP3375000P,230074367,Montgomery County Police,Injury Crash,2023-12-31T11:16:00.000,,SINGLE VEHICLE,CLEAR,DAYLIGHT,N/A,NONE DETECTED,BE668EE6-4CF8-49CD-A67A-C41230C57389,Yes,SUSPECTED MINOR INJURY,N/A,UNKNOWN,MD,D9234ECB-6440-47D6-AE2D-5CCA9D61F79B,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2002,HONDA,ACCORD,NO MISUSE,Maryland (State),NORWOOD RD,County,EXCALIBER LA,N/A,DRY,,
MCP2228001J,230074366,Montgomery County Police,Injury Crash,2023-12-31T11:00:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,YIELD SIGN,NONE DETECTED,14B8FDE8-25BF-4EBC-92D6-22855B65C701,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,CA316C1F-7A4D-420B-8355-C8B629A9A2A7,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,South,30,No,No,2011,TOYOTA,SIENNA,NO MISUSE,Maryland (State),MONTGOMERY VILLAGE AVE,Unknown,SPUR TO CHRISTOPHER AVE,N/A,DRY,,
MCP2228001J,230074366,Montgomery County Police,Injury Crash,2023-12-31T11:00:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,YIELD SIGN,NONE DETECTED,2038B375-DEBF-4F7B-A01B-1A42B798276B,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,D19BEE2B-5E12-4324-A4E2-75184078FAA8,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,South,30,No,No,2004,TOYOTA,COROLLA,NO MISUSE,Maryland (State),MONTGOMERY VILLAGE AVE,Unknown,SPUR TO CHRISTOPHER AVE,N/A,DRY,,
MCP209400N9,230074362,Montgomery County Police,Property Damage Crash,2023-12-31T10:31:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,F2B8A662-D2BF-468C-9BAB-5E3674DBD675,Yes,NO APPARENT INJURY,N/A,UNKNOWN,ON,751217E2-214B-4539-B2E4-7A3739F0F980,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,VAN,MOVING CONSTANT SPEED,North,North,35,No,No,2012,CHRISLER,TOWN & COUNTRY,NO MISUSE,Maryland (State),ROCKVILLE PIKE,County,BELLEVUE DR,N/A,DRY,,
MCP209400N9,230074362,Montgomery County Police,Property Damage Crash,2023-12-31T10:31:00.000,,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,6E5781CA-0F18-4052-A059-7C8B570866F6,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F91AADBE-2E0B-4944-BEDE-ECC9DE8BF6A8,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,North,35,No,No,2016,ACUR,TK,NO MISUSE,Maryland (State),ROCKVILLE PIKE,County,BELLEVUE DR,N/A,DRY,,
MCP3089004C,230074361,Montgomery County Police,Property Damage Crash,2023-12-31T10:12:00.000,,OTHER,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,E05A3FEC-2E52-449A-89AE-5F80F12999CE,Unknown,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,MD,F7B637EC-53D7-4492-9E00-05CCF4FBC140,FUNCTIONAL,ONE OCLOCK,TWO OCLOCK,AMBULANCE/EMERGENCY,PASSING,South,South,30,No,No,2019,FRHT,AMBULANCE,UNKNOWN,Maryland (State),GEORGIA AVE,County,DENNIS AVE,N/A,DRY,,
MCP3089004C,230074361,Montgomery County Police,Property Damage Crash,2023-12-31T10:12:00.000,,OTHER,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,3CCBAF68-807E-4DE2-A3C1-7A0E5D395C3E,No,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,DC,34453981-616B-41E6-9323-FDDCFDD51DCA,FUNCTIONAL,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,South,30,No,No,2022,LAND ROVER,DEFENDER,UNKNOWN,Maryland (State),GEORGIA AVE,County,DENNIS AVE,N/A,DRY,,
DD559500FK,230074355,Rockville Police Departme,Property Damage Crash,2023-12-31T09:55:00.000,,SINGLE VEHICLE,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,01114EEF-3168-4069-A7C4-10C2AC71310E,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,A432D480-4482-4AE7-BA8E-A471F12E8FCA,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,South,25,No,No,2023,SUBA,SD,UNKNOWN,Municipality,TWINBROOK PKWY,Municipality,CHAPMAN AVE,ROCKVILLE,DRY,,
MCP2456008B,230074353,Montgomery County Police,Injury Crash,2023-12-31T09:30:00.000,,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,UNKNOWN,0C80A645-7748-4DA4-A0CF-10E3E7401EE1,Yes,POSSIBLE INJURY,N/A,UNKNOWN,MD,567651CB-BAE5-4DDD-A707-3E491B35EF09,DISABLING,FOUR OCLOCK,FOUR OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,No,No,2023,HOND,SD,NO MISUSE,US (State),COLESVILLE RD,County,LORAIN AVE,N/A,DRY,,
MCP1519004N,230074349,Montgomery County Police,Property Damage Crash,2023-12-31T07:17:00.000,,SINGLE VEHICLE,CLEAR,DAWN,NO CONTROLS,NONE DETECTED,EEAA67CF-3372-4A0B-92E4-FA02F0033C2B,Yes,NO APPARENT INJURY,"ANIMAL, N/A",NOT DISTRACTED,MD,BD101F1B-AC9D-494D-884F-B2701F4CBCC9,DISABLING,TWELVE OCLOCK,UNDERSIDE,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,45,No,No,2009,SUBARU,FORESTER,NO MISUSE,Maryland (State),CLOPPER RD,Other Public Roadway,ALLSPICE RD,N/A,DRY,,
MCP2203007Z,230074348,Montgomery County Police,Property Damage Crash,2023-12-31T06:50:00.000,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DARK -- UNKNOWN LIGHTING,NO CONTROLS,UNKNOWN,DA5E7DB3-07E1-4060-8A52-71F5B7DC1A93,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,0308184E-C85C-4729-80E1-7EA071C59FD6,UNKNOWN,TWELVE OCLOCK,TWELVE OCLOCK,,MOVING CONSTANT SPEED,West,West,25,No,No,0,UNKNOWN,UNKNOWN,UNKNOWN,County,HERMITAGE AVE,County,NAIRN RD,N/A,DRY,,
DD56720005,230074345,Rockville Police Departme,Property Damage Crash,2023-12-31T03:22:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,8D86EEC7-49BF-419D-AA51-80C9C4441E0F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,36E52D29-5011-459F-8B04-FDEBFD35AC73,SUPERFICIAL,TWELVE OCLOCK,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,West,35,No,No,2024,TOYOTA,CAMRY,N/A,Maryland (State),VEIRS MILL RD,Maryland (State),ROCKVILLE PIKE,N/A,DRY,,
DD56720005,230074345,Rockville Police Departme,Property Damage Crash,2023-12-31T03:22:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,EF867658-242A-4240-BB06-8436963AEA6A,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,EF2B03D1-FD1A-4E8F-BE4A-399B7B14D07B,UNKNOWN,UNKNOWN,UNKNOWN,PASSENGER CAR,STARTING FROM PARKED,East,East,35,No,No,2001,TOYOTA,AVALON,UNKNOWN,Maryland (State),VEIRS MILL RD,Maryland (State),ROCKVILLE PIKE,N/A,DRY,,
MCP31050059,230074336,Montgomery County Police,Injury Crash,2023-12-31T00:19:00.000,,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,1FBE10C7-4EE1-4DA1-8F98-99DBE44DA1AB,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,ACA90E16-00BD-42EF-8E9E-E46BA3B25431,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2016,HYUNDAI,SONATA,NO MISUSE,County,FATHER HURLEY BLVD,County,WISTERIA DR,N/A,DRY,,
MCP31050059,230074336,Montgomery County Police,Injury Crash,2023-12-31T00:19:00.000,,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,45802FE3-7FC7-4E2D-879D-EAADB03A3BC3,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,E1013705-6E95-41D8-948B-BF199CF4B6A9,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,South,35,No,No,2016,HONDA,CIVIC,NO MISUSE,County,FATHER HURLEY BLVD,County,WISTERIA DR,N/A,DRY,,
MCP3017002L,230074329,Montgomery County Police,Property Damage Crash,2023-12-30T22:05:00.000,,HEAD ON,CLEAR,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,59CCDCEB-27AF-4F56-86C6-FABF2CF9A956,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,C989DB16-88EF-498C-86AA-550C1CE53DE6,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,South,South,25,No,No,2004,FORD,ESCAPE,UNKNOWN,County,SWAN STREAM DR,County,IVY OAK DR,N/A,N/A,,
MCP291400FG,230074331,Montgomery County Police,Property Damage Crash,2023-12-30T21:58:00.000,8404 COLESVILLE ROAD- 3RD LEVEL PARKING CIRCLE,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,N/A,BE7897AF-A5FF-40F9-A349-CFFE4AE8D00F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,0568C6F8-3F57-412F-A5CA-007A72AF28AA,NO DAMAGE,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,PARKED,,,0,No,Yes,2016,FORD,EXPLORER,N/A,,,,,,,,
MCP291400FG,230074331,Montgomery County Police,Property Damage Crash,2023-12-30T21:58:00.000,8404 COLESVILLE ROAD- 3RD LEVEL PARKING CIRCLE,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,N/A,152704A6-5C49-4E31-8BD7-3E1037AA6537,Yes,NO APPARENT INJURY,N/A,OTHER DISTRACTION,NC,243E86F6-ABBA-4A63-8976-19E32DCCADCB,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,South,0,No,No,2000,HONDA,CIVIC,NO MISUSE,,,,,,,,
MCP2756005J,230074318,Montgomery County Police,Property Damage Crash,2023-12-30T19:40:00.000,,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,F78FE108-5EA0-43DB-AB0A-7337A1F50BB9,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,BD81CB29-5F68-476E-AAE1-3F57FD0FD0EE,FUNCTIONAL,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,25,No,No,2014,TOYOTA,RAV4,NO MISUSE,County,BUCKNELL DR,Unknown,ROAD END,N/A,DRY,,
MCP13100009,230074314,Montgomery County Police,Property Damage Crash,2023-12-30T19:10:00.000,,N/A,CLEAR,DARK LIGHTS ON,N/A,NONE DETECTED,99C9C357-234F-4C58-BEC6-E20A8628374F,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,DC,59291439-8ABB-437F-9F85-437B2854CD87,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,AMBULANCE/NON EMERGENCY,BACKING,North,North,0,No,No,2015,FRHT,AMBULANCE,NO MISUSE,County,BETHESDA AVE,County,WOODMONT AVE,N/A,DRY,,
MCP28750084,230074312,Montgomery County Police,Property Damage Crash,2023-12-30T19:05:00.000,,SINGLE VEHICLE,CLOUDY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,B5B0275C-E7A4-4036-8C01-A739057E0623,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,138783B0-1750-450A-8F6C-AABE12ABFAA6,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,NEGOTIATING A CURVE,South,South,30,No,No,2006,TOYOTA,TACOMA,UNKNOWN,County,ZION RD,County,GREGG RD,N/A,DRY,,
EJ78710070,230074307,Gaithersburg Police Depar,Property Damage Crash,2023-12-30T18:21:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,29469D55-2FBC-4526-91C3-BC271EF7FC1A,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,3B01D154-35C0-43C3-BCBB-436DB33C4043,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,West,35,No,No,2015,NISSAN,VERSA,NO MISUSE,Maryland (State),QUINCE ORCHARD RD,Municipality,TWIN LAKES DR,GAITHERSBURG,DRY,,
EJ78710070,230074307,Gaithersburg Police Depar,Property Damage Crash,2023-12-30T18:21:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,452303D2-0CDB-483B-9BEB-AB4917A64C91,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,FADC4A16-7A40-4293-B191-9207F5205475,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,No,No,2015,DODGE,VAN,NO MISUSE,Maryland (State),QUINCE ORCHARD RD,Municipality,TWIN LAKES DR,GAITHERSBURG,DRY,,
MCP32630046,230074313,Montgomery County Police,Injury Crash,2023-12-30T17:15:00.000,,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,7D2A2438-09A9-4F75-A875-7B47046ECE2C,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,FL,75CC81A1-EAF6-45B0-9E7F-B69A33B3E86D,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,RIGHT TURN ON RED,North,West,25,No,No,2018,CADILLAC,XT5,NO MISUSE,County,MOORLAND LA,County,ARLINGTON RD,N/A,DRY,PEDESTRIAN,NONE DETECTED
